token_address,ticker,chain,platform,launch_ts,t_window_hours,total_buy_volume_eth,total_buy_volume_eth_decayed,unique_buyers,buyer_volumes_eth_json,lp_depth_eth,lp_removed_24h_eth,early_holders_count,early_holders_still_holding,hp_delta_recent,holder_count,holder_balances_json,outcome_30d_holder_retention,outcome_30d_price_floor,outcome_30d_volume_slope,outcome_30d_composite,outcome_60d_holder_retention,outcome_60d_price_floor,outcome_60d_volume_slope,outcome_60d_composite,outcome_90d_holder_retention,outcome_90d_price_floor,outcome_90d_volume_slope,outcome_90d_composite,survived_to_day_7,hp_trajectory_json,name,creator_address,notes
0x7fb9b2a7a46b4b1cf7c9a65710f45cbcf2892b07,USDT,base,clanker,1776092703,96,0.0,0.0,0,[],0.0,0,5,5,0.0,5,"[19793257193193149618437628848, 10000000000000000000000, 850000000000000000000, 10000000000000000000, 2222161120785891317]",0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.166667, 0.166667, 0.166667, 0.166667]",USDT,0x4fa028968231d5882096ab8d82b2e108a859d731,zero-activity
0x12478f031c7a08b151aa919fc95daae680232b07,Noethea,base,clanker,1776630499,96,0.009398,0.001273,2,"[0.00926, 0.000139]",4.920697,0,0,0,-0.0002,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,"[1.11339, 1.112642, 1.112189, 1.111914]",Noethea,0xe4c4f211cf9ae11aaf6cbd34abcefe155ba8f0e2,
0x5b2d93ff43639e815c8b91214a4a251517337b07,DOTO,base,clanker,1775564333,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],DOTO,0xc78952bc9c9d09ff00f0620106052bf4daa0b872,no swaps in 90d;zero-activity
0x4228108fcf3e85532334acba2ed3a6b527719b07,delusional,base,clanker,1771702847,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],delusional,0xa71e462449983ebe7472d3a69838cd51643583bc,no swaps in 90d;zero-activity
0xc1aaa6dddf53194d267a6d6d7a8b839124697b07,YOOO,base,clanker,1773347075,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],YOOO,0xb435e19a1b0ac6c28d28548542367b15cf3c942a,no swaps in 90d;zero-activity
0xf96f7a7f1788add12171b486906fa566e5aa9b07,CLAWWATCH,base,clanker,1771680063,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],CLAWWATCH,0x401229e43ed6299bad1ebd01e62e05d61a2bc49b,no swaps in 90d;zero-activity
0xe68e9823c09da86207f7ccae8e7f05ab1830db07,Clawicloud,base,clanker,1771862893,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],Clawicloud,0x4d338d72b5f7131de99e71067963fe6b67bc98b3,no swaps in 90d;zero-activity
0x022ba0893755deaa1b956a1136f891edbb228b07,FOUNDRY,base,clanker,1771967983,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],FOUNDRY,0x6aa371c08ad58954dd166fc70af1ab7874122a8f,no swaps in 90d;zero-activity
0xe7ceaf566395b6ed7902896c2d5a09d969507b07,FREEDOM,base,clanker,1772643401,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],FREEDOM,0xb533befaf898431d84b89bf36e1bff700b3a29bc,no swaps in 90d;zero-activity
0x2ded3a7f4d2ffc17104940b415197aad09a28b07,Jock,base,clanker,1771433551,96,0.0,0.0,0,[],0.0,0.0,0,0,0.0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,[],Jock,0xd47292eb9e4d206cfefd4347bfbfc4622454ba64,no swaps in 90d;zero-activity
